Year,Month,Inflation Rate (YoY)
2000,Jan,2.7
2000,Feb,3.2
2000,Mar,3.8
2000,Apr,3.1
2000,May,3.2
2000,Jun,3.7
2000,Jul,3.7
2000,Aug,3.4
2000,Sep,3.5
2000,Oct,3.4
2000,Nov,3.4
2000,Dec,3.4
2001,Jan,3.7
2001,Feb,3.5
2001,Mar,2.9
2001,Apr,3.3
2001,May,3.6
2001,Jun,3.2
2001,Jul,2.7
2001,Aug,2.7
2001,Sep,2.6
2001,Oct,2.1
2001,Nov,1.9
2001,Dec,1.6
2002,Jan,1.1
2002,Feb,1.1
2002,Mar,1.5
2002,Apr,1.6
2002,May,1.2
2002,Jun,1.1
2002,Jul,1.5
2002,Aug,1.8
2002,Sep,1.5
2002,Oct,2.0
2002,Nov,2.2
2002,Dec,2.4
2003,Jan,2.6
2003,Feb,3.0
2003,Mar,3.0
2003,Apr,2.2
2003,May,2.1
2003,Jun,2.1
2003,Jul,2.1
2003,Aug,2.2
2003,Sep,2.3
2003,Oct,2.0
2003,Nov,1.8
2003,Dec,1.9
2004,Jan,1.9
2004,Feb,1.7
2004,Mar,1.7
2004,Apr,2.3
2004,May,3.1
2004,Jun,3.3
2004,Jul,3.0
2004,Aug,2.7
2004,Sep,2.5
2004,Oct,3.2
2004,Nov,3.5
2004,Dec,3.3
2005,Jan,3.0
2005,Feb,3.0
2005,Mar,3.1
2005,Apr,3.5
2005,May,2.8
2005,Jun,2.5
2005,Jul,3.2
2005,Aug,3.6
2005,Sep,4.7
2005,Oct,4.3
2005,Nov,3.5
2005,Dec,3.4
2006,Jan,4.0
2006,Feb,3.6
2006,Mar,3.4
2006,Apr,3.5
2006,May,4.2
2006,Jun,4.3
2006,Jul,4.1
2006,Aug,3.8
2006,Sep,2.1
2006,Oct,1.3
2006,Nov,2.0
2006,Dec,2.5
2007,Jan,2.1
2007,Feb,2.4
2007,Mar,2.8
2007,Apr,2.6
2007,May,2.7
2007,Jun,2.7
2007,Jul,2.4
2007,Aug,2.0
2007,Sep,2.8
2007,Oct,3.5
2007,Nov,4.3
2007,Dec,4.1
2008,Jan,4.3
2008,Feb,4.0
2008,Mar,4.0
2008,Apr,3.9
2008,May,4.2
2008,Jun,5.0
2008,Jul,5.6
2008,Aug,5.4
2008,Sep,4.9
2008,Oct,3.7
2008,Nov,1.1
2008,Dec,0.1
2009,Jan,0.0
2009,Feb,0.2
2009,Mar,-0.4
2009,Apr,-0.7
2009,May,-1.3
2009,Jun,-1.4
2009,Jul,-2.1
2009,Aug,-1.5
2009,Sep,-1.3
2009,Oct,-0.2
2009,Nov,1.8
2009,Dec,2.7
2010,Jan,2.6
2010,Feb,2.1
2010,Mar,2.3
2010,Apr,2.2
2010,May,2.0
2010,Jun,1.1
2010,Jul,1.2
2010,Aug,1.1
2010,Sep,1.1
2010,Oct,1.2
2010,Nov,1.1
2010,Dec,1.5
2011,Jan,1.6
2011,Feb,2.1
2011,Mar,2.7
2011,Apr,3.2
2011,May,3.6
2011,Jun,3.6
2011,Jul,3.6
2011,Aug,3.8
2011,Sep,3.9
2011,Oct,3.5
2011,Nov,3.4
2011,Dec,3.0
2012,Jan,2.9
2012,Feb,2.9
2012,Mar,2.7
2012,Apr,2.3
2012,May,1.7
2012,Jun,1.7
2012,Jul,1.4
2012,Aug,1.7
2012,Sep,2.0
2012,Oct,2.2
2012,Nov,1.8
2012,Dec,1.7
2013,Jan,1.6
2013,Feb,2.0
2013,Mar,1.5
2013,Apr,1.1
2013,May,1.4
2013,Jun,1.8
2013,Jul,2.0
2013,Aug,1.5
2013,Sep,1.2
2013,Oct,1.0
2013,Nov,1.2
2013,Dec,1.5
2014,Jan,1.6
2014,Feb,1.1
2014,Mar,1.5
2014,Apr,2.0
2014,May,2.1
2014,Jun,2.1
2014,Jul,2.0
2014,Aug,1.7
2014,Sep,1.7
2014,Oct,1.7
2014,Nov,1.3
2014,Dec,0.8
2015,Jan,-0.1
2015,Feb,0.0
2015,Mar,-0.1
2015,Apr,-0.2
2015,May,0.0
2015,Jun,0.1
2015,Jul,0.2
2015,Aug,0.2
2015,Sep,0.0
2015,Oct,0.2
2015,Nov,0.5
2015,Dec,0.7
2016,Jan,1.4
2016,Feb,1.0
2016,Mar,0.9
2016,Apr,1.1
2016,May,1.0
2016,Jun,1.0
2016,Jul,0.8
2016,Aug,1.1
2016,Sep,1.5
2016,Oct,1.6
2016,Nov,1.7
2016,Dec,2.1
2017,Jan,2.5
2017,Feb,2.7
2017,Mar,2.4
2017,Apr,2.2
2017,May,1.9
2017,Jun,1.6
2017,Jul,1.7
2017,Aug,1.9
2017,Sep,2.2
2017,Oct,2.0
2017,Nov,2.2
2017,Dec,2.1
2018,Jan,2.1
2018,Feb,2.2
2018,Mar,2.4
2018,Apr,2.5
2018,May,2.8
2018,Jun,2.9
2018,Jul,2.9
2018,Aug,2.7
2018,Sep,2.3
2018,Oct,2.5
2018,Nov,2.2
2018,Dec,1.9
2019,Jan,1.6
2019,Feb,1.5
2019,Mar,1.9
2019,Apr,2.0
2019,May,1.8
2019,Jun,1.6
2019,Jul,1.8
2019,Aug,1.7
2019,Sep,1.7
2019,Oct,1.8
2019,Nov,2.1
2019,Dec,2.3
2020,Jan,2.5
2020,Feb,2.3
2020,Mar,1.5
2020,Apr,0.3
2020,May,0.1
2020,Jun,0.6
2020,Jul,1.0
2020,Aug,1.3
2020,Sep,1.4
2020,Oct,1.2
2020,Nov,1.2
2020,Dec,1.4
2021,Jan,1.4
2021,Feb,1.7
2021,Mar,2.6
2021,Apr,4.2
2021,May,5.0
2021,Jun,5.4
2021,Jul,5.4
2021,Aug,5.3
2021,Sep,5.4
2021,Oct,6.2
2021,Nov,6.8
2021,Dec,7.0
2022,Jan,7.5
2022,Feb,7.9
2022,Mar,8.5
2022,Apr,8.3
2022,May,8.6
2022,Jun,9.1
2022,Jul,8.5
2022,Aug,8.3
2022,Sep,8.2
2022,Oct,7.7
2022,Nov,7.1
2022,Dec,6.5
2023,Jan,6.4
2023,Feb,6.0
2023,Mar,5.0
2023,Apr,4.9
2023,May,4.0
2023,Jun,3.0
2023,Jul,3.2
2023,Aug,3.7
2023,Sep,3.7
2023,Oct,3.2
2023,Nov,3.1
2023,Dec,3.4
2024,Jan,3.1
2024,Feb,3.2
2024,Mar,3.5
2024,Apr,3.4
2024,May,3.3
2024,Jun,3.0
2024,Jul,2.9
2024,Aug,2.5
2024,Sep,2.4
2024,Oct,2.6
2024,Nov,2.7
2024,Dec,2.9
2025,Jan,3.0
2025,Feb,2.8
2025,Mar,2.4
2025,Apr,2.5
2025,May,2.4
2025,Jun,2.7
